,,,,,,,,,,
,,,Sign Type,Trim Cap,Proposal Template,Thickness,Mounting,Specs,Side View,Package Includes
,,,Side Lit Channel Letters,,,,Flush Mount,"SIGN TYPE: SIDE LIT CHANNEL LETTERS
FACE: ACRYLIC WITH OPAQUE VINYL APPLICATION
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
RETURNS: [DEPTH]”
SIDES: TRANSLUCENT ACRYLIC 
ILLUMINATED : 6500 K LED MODULES (3 YEARS WARRANTY)
MOUNTING: FLUSH MOUNT
RACEWAY/BACKER: N/A
APPLICATION: [APPLICATION]
",TRUE,A
,,,,,,,"Raceway Mount (2"")","SIGN TYPE: SIDE LIT CHANNEL LETTERS WITH RACEWAY
FACE: ACRYLIC WITH OPAQUE VINYL APPLICATION
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
RETURNS: [DEPTH]”
SIDES: TRANSLUCENT ACRYLIC 
ILLUMINATED : 6500 K LED MODULES (3 YEARS WARRANTY)
MOUNTING: RACEWAY MOUNT
RACEWAY/BACKER: 2” DEEP,  SERVICEABLE RACEWAY
APPLICATION: [APPLICATION]

* POWER SUPPLY TO BE INSIDE RACEWAY WITH ON/OFF SWITCH INSTALLED",TRUE,A
,,,,,,,"Backboard Cabinet (2"")","SIGN TYPE: SIDE LIT CHANNEL LETTERS WITH BACKBOARD CABINET
FACE: ACRYLIC WITH OPAQUE VINYL APPLICATION
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
RETURNS: [DEPTH]”
SIDES: TRANSLUCENT ACRYLIC 
ILLUMINATED : 6500 K LED MODULES (3 YEARS WARRANTY)
MOUNTING: BACKER MOUNT
RACEWAY/BACKER: 2” DEEP SERVICEABLE BACKBOARD
APPLICATION: [APPLICATION]

* POWER SUPPLY TO BE INSIDE BACKBOARD WITH ON/OFF SWITCH INSTALLED",TRUE,A
,,,,,,,Flat Aluminum Backer (2.5 mm),"SIGN TYPE: SIDE LIT CHANNEL LETTERS WITH FLAT ALUMINUM BACKER
FACE: ACRYLIC WITH OPAQUE VINYL APPLICATION
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
RETURNS: [DEPTH]”
SIDES: TRANSLUCENT ACRYLIC 
ILLUMINATED : 6500 K LED MODULES (3 YEARS WARRANTY)
MOUNTING: BACKER MOUNT
RACEWAY/BACKER: 2.5MM THICK ALUMINUM BACKER
APPLICATION: [APPLICATION]",TRUE,A
,,,,,,,Flat ACM Backer (4mm),"SIGN TYPE: SIDE LIT CHANNEL LETTERS WITH FLAT ACM BACKER
FACE: ACRYLIC WITH OPAQUE VINYL APPLICATION
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
RETURNS: [DEPTH]”
SIDES: TRANSLUCENT ACRYLIC 
ILLUMINATED : 6500 K LED MODULES (3 YEARS WARRANTY)
MOUNTING: BACKER MOUNT
RACEWAY/BACKER: 4 MM THICK ACM BACKER
APPLICATION: [APPLICATION]

",TRUE,A
,,,,,,,Flat Acrylic Backer (8mm),"SIGN TYPE: SIDE LIT CHANNEL LETTERS WITH FLAT ACRYLIC BACKER
FACE: ACRYLIC WITH OPAQUE VINYL APPLICATION
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
RETURNS: [DEPTH]”
SIDES: TRANSLUCENT ACRYLIC 
ILLUMINATED : 6500 K LED MODULES (3 YEARS WARRANTY)
MOUNTING: BACKER MOUNT
RACEWAY/BACKER: 8 MM THICK ACRYLIC BACKER
APPLICATION: [APPLICATION]",TRUE,A
,,,Vacuum Formed Channel Letters,,,,Flush Mount,"SIGN TYPE: VACUUM FORMED CHANNEL LETTERS 
FACE: VACUUM FORMED ACRYLIC
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
RETURNS: [DEPTH]”
ILLUMINATED : 6500 K LED MODULES (3 YEARS WARRANTY)
MOUNTING: FLUSH MOUNT
RACEWAY/BACKER: N/A
APPLICATION: [APPLICATION]",TRUE,A
,,,,,,,"Raceway Mount (2"")","SIGN TYPE: VACUUM FORMED CHANNEL LETTERS WITH RACEWAY
FACE: VACUUM FORMED ACRYLIC
OVERALL DIMENSIONS: [HEIGHT]"""" X [WIDTH]""""
RETURNS: [DEPTH]”
ILLUMINATED : 6500 K LED MODULES (3 YEARS WARRANTY)
MOUNTING: RACEWAY MOUNT
RACEWAY/BACKER: 2"" DEEP, SERVICEABLE ALUMINUM RACEWAY
APPLICATION: [APPLICATION]",TRUE,A
,,,,,,,"Backboard Cabinet (2"")","SIGN TYPE: VACUUM FORMED CHANNEL LETTERS WITH ALUMINUM BACKBOARD
FACE: VACUUM FORMED ACRYLIC
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
RETURNS: [DEPTH]”
ILLUMINATED : 6500 K LED MODULES (3 YEARS WARRANTY)
MOUNTING: BACKER MOUNT
RACEWAY/BACKER: 2"" DEEP, SERVICEABLE ALUMINUM BACKER
APPLICATION: [APPLICATION]",TRUE,A
,,,,,,,Flat Aluminum Backer (2.5 mm),"SIGN TYPE: VACUUM FORMED CHANNEL LETTERS WITH FLAT ALUMINUM BACKER
FACE: VACUUM FORMED ACRYLIC
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
RETURNS: [DEPTH]”
ILLUMINATED : 6500 K LED MODULES (3 YEARS WARRANTY)
MOUNTING: BACKER MOUNT
RACEWAY/BACKER: 2.5 MM THICK ALUMINUM BACKER
APPLICATION: [APPLICATION]",TRUE,A
,,,,,,,Flat ACM Backer (4mm),"SIGN TYPE: VACUUM FORMED CHANNEL LETTERS WITH FLAT ACM BACKER
FACE: VACUUM FORMED ACRYLIC
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
RETURNS: [DEPTH]”
ILLUMINATED : 6500 K LED MODULES (3 YEARS WARRANTY)
MOUNTING: BACKER MOUNT
RACEWAY/BACKER: 4 MM THICK ACM BACKER
APPLICATION: [APPLICATION]",TRUE,A
,,,,,,,Flat Acrylic Backer (8mm),"SIGN TYPE: VACUUM FORMED CHANNEL LETTERS WITH FLAT ACRYLIC BACKER
FACE: VACUUM FORMED ACRYLIC
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
RETURNS: [DEPTH]”
ILLUMINATED : 6500 K LED MODULES (3 YEARS WARRANTY)
MOUNTING: BACKER MOUNT
RACEWAY/BACKER: 8 MM THICK ACRYLIC BACKER
APPLICATION: [APPLICATION]",TRUE,A
,2,NON ILLUMINATED FABRICATED CHANNEL LETTERS,Fabricated Channel Letters,,A,N/A,Flush Mount,"SIGN TYPE : NON ILLUMINATED FABRICATED CHANNEL LETTERS
LETTER FACE: SS/ALUMINUM FACE
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
RETURNS: [DEPTH]""
ILLUMINATION : N/A
MOUNTING: FLUSH/STUD MOUNT
COLOR SPECS:
  • FACE & RETURN COLOR: [ASK REP]
FINISH: SATIN
APPLICATION: [APPLICATION]",TRUE,B
,,,,,,,"Raceway Mount (2"")","SIGN TYPE : NON ILLUMINATED FABRICATED CHANNEL LETTERS WITH RACEWAY
LETTER FACE: SS/ALUMINUM FACE
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
RETURNS: [DEPTH]""
ILLUMINATION : N/A
MOUNTING: RACEWAY MOUNT
RACEWAY/BACKER: 2"" DEEP, 6"" TALL ALUMINUM RACEWAY
COLOR SPECS:
  • FACE & RETURN COLOR: [ASK REP]
FINISH: SATIN
APPLICATION: [APPLICATION]",TRUE,B
,,,,,,,"Backboard Cabinet (2"")","SIGN TYPE : NON ILLUMINATED FABRICATED CHANNEL LETTERS WITH ALUMINUM BACKBOARD 
LETTER FACE: SS/ALUMINUM FACE
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
RETURNS: [DEPTH]""
ILLUMINATION : N/A
MOUNTING: BACKER MOUNT
RACEWAY/BACKER: 2"" DEEP ALUMINUM BACKER
COLOR SPECS:
  • FACE & RETURN COLOR: [ASK REP]
FINISH: SATIN
APPLICATION: [APPLICATION]",TRUE,B
,,,,,,,Flat Aluminum Backer (2.5 mm),"SIGN TYPE : NON ILLUMINATED FABRICATED CHANNEL LETTERS WITH FLAT ALUMINUM BACKER
LETTER FACE: SS/ALUMINUM FACE
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
RETURNS: [DEPTH]""
ILLUMINATION : N/A
MOUNTING: BACKER MOUNT
RACEWAY/BACKER: 2.5 MM THICK ALUMINUM BACKER
COLOR SPECS:
  • FACE & RETURN COLOR: [ASK REP]
FINISH: SATIN
APPLICATION: [APPLICATION]",TRUE,B
,,,,,,,Flat ACM Backer (4mm),"SIGN TYPE : NON ILLUMINATED FABRICATED CHANNEL LETTERS WITH FLAT ACM BACKER
LETTER FACE: SS/ALUMINUM FACE
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
RETURNS: [DEPTH]""
ILLUMINATION : N/A
MOUNTING: BACKER MOUNT
RACEWAY/BACKER: 4 MM THICK ACM BACKER
COLOR SPECS:
  • FACE & RETURN COLOR: [ASK REP]
FINISH: SATIN
APPLICATION: [APPLICATION]",TRUE,B
,,,,,,,Flat Acrylic Backer (8mm),"SIGN TYPE : NON ILLUMINATED FABRICATED CHANNEL LETTERS WITH FLAT ACRYLIC BACKER
LETTER FACE: SS/ALUMINUM FACE
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
RETURNS: [DEPTH]""
ILLUMINATION : N/A
MOUNTING: BACKER MOUNT
RACEWAY/BACKER: 8 MM THICK ACRYLIC BACKER
COLOR SPECS:
  • FACE & RETURN COLOR: [ASK REP]
FINISH: SATIN
APPLICATION: [APPLICATION]",TRUE,B
,3,DIMENSIONAL FLAT CUT LETTERS,Flat Cut Acrylic/PVC Letters,,A,"1/4""",Flush Mount (VHB),"SIGN TYPE: 1/4"" FLAT CUT ACRYLIC LETTERS
FACE: ACRYLIC
LETTERS THICKNESS: 1/4""
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
ILLUMINATION : N/A
MOUNTING: FLUSH MOUNT (WITH VHB)
RACEWAY/BACKER: N/A
COLOR SPECS:
  • FACE COLOR: [ASK REP]
FINISH: SATIN
APPLICATION: [APPLICATION]",TRUE,B
,,,,,,,Flush Mount (Screws),"SIGN TYPE: 1/4"" FLAT CUT ACRYLIC LETTERS
FACE: ACRYLIC
LETTERS THICKNESS: 1/4""
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
ILLUMINATION : N/A
MOUNTING: FLUSH MOUNT (WITH SCREWS)
RACEWAY/BACKER: N/A
COLOR SPECS:
  • FACE COLOR: [ASK REP]
FINISH: SATIN
APPLICATION: [APPLICATION]",TRUE,B
,,,,,,,Stud Mount ,"SIGN TYPE: 1/4"" FLAT CUT ACRYLIC LETTERS
FACE: ACRYLIC
LETTERS THICKNESS: 1/4""
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
ILLUMINATION : N/A
MOUNTING: STUD MOUNT 
RACEWAY/BACKER: N/A
COLOR SPECS:
  • FACE COLOR: [ASK REP]
FINISH: SATIN
APPLICATION: [APPLICATION]",TRUE,B
,,,,,,"1/2""",Flush Mount (VHB),"SIGN TYPE: 1/2"" FLAT CUT ACRYLIC LETTERS
FACE: ACRYLIC
LETTERS THICKNESS: 1/2""
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
ILLUMINATION : N/A
MOUNTING: FLUSH MOUNT (WITH VHB)
RACEWAY/BACKER: N/A
COLOR SPECS:
  • FACE COLOR: [ASK REP]
FINISH: SATIN
APPLICATION: [APPLICATION]",TRUE,B
,,,,,,,Flush Mount (Screws),"SIGN TYPE: 1/2"" FLAT CUT ACRYLIC LETTERS
FACE: ACRYLIC
LETTERS THICKNESS: 1/2""
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
ILLUMINATION : N/A
MOUNTING: FLUSH MOUNT (WITH SCREWS)
RACEWAY/BACKER: N/A
COLOR SPECS:
  • FACE COLOR: [ASK REP]
FINISH: SATIN
APPLICATION: [APPLICATION]",TRUE,B
,,,,,,,Stud Mount ,"SIGN TYPE: 1/2"" FLAT CUT ACRYLIC LETTERS
FACE: ACRYLIC
LETTERS THICKNESS: 1/2""
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
ILLUMINATION : N/A
MOUNTING: STUD MOUNT 
RACEWAY/BACKER: N/A
COLOR SPECS:
  • FACE COLOR: [ASK REP]
FINISH: SATIN
APPLICATION: [APPLICATION]",TRUE,B
,,,,,,"3/4""",Flush Mount (VHB),"SIGN TYPE: 3/4"" FLAT CUT ACRYLIC LETTERS
FACE: ACRYLIC
LETTERS THICKNESS: 3/4""
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
ILLUMINATION : N/A
MOUNTING: FLUSH MOUNT (WITH VHB)
RACEWAY/BACKER: N/A
COLOR SPECS:
  • FACE COLOR: [ASK REP]
FINISH: SATIN
APPLICATION: [APPLICATION]",TRUE,B
,,,,,,,Flush Mount (Screws),"SIGN TYPE: 3/4"" FLAT CUT ACRYLIC LETTERS
FACE: ACRYLIC
LETTERS THICKNESS: 3/4""
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
ILLUMINATION : N/A
MOUNTING: FLUSH MOUNT (WITH SCREWS)
RACEWAY/BACKER: N/A
COLOR SPECS:
  • FACE COLOR: [ASK REP]
FINISH: SATIN
APPLICATION: [APPLICATION]",TRUE,B
,,,,,,,Stud Mount ,"SIGN TYPE: 3/4"" FLAT CUT ACRYLIC LETTERS
FACE: ACRYLIC
LETTERS THICKNESS: 3/4""
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
ILLUMINATION : N/A
MOUNTING: STUD MOUNT 
RACEWAY/BACKER: N/A
COLOR SPECS:
  • FACE COLOR: [ASK REP]
FINISH: SATIN
APPLICATION: [APPLICATION]",TRUE,B
,,,,,,"1""",Flush Mount (VHB),"SIGN TYPE: 1"" FLAT CUT ACRYLIC LETTERS
FACE: ACRYLIC
LETTERS THICKNESS: 1""
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
ILLUMINATION : N/A
MOUNTING: FLUSH MOUNT (WITH VHB)
RACEWAY/BACKER: N/A
COLOR SPECS:
  • FACE COLOR: [ASK REP]
FINISH: SATIN
APPLICATION: [APPLICATION]",TRUE,B
,,,,,,,Flush Mount (Screws),"SIGN TYPE: 1"" FLAT CUT ACRYLIC LETTERS
FACE: ACRYLIC
LETTERS THICKNESS: 1""
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
ILLUMINATION : N/A
MOUNTING: FLUSH MOUNT (WITH SCREWS)
RACEWAY/BACKER: N/A
COLOR SPECS:
  • FACE COLOR: [ASK REP]
FINISH: SATIN
APPLICATION: [APPLICATION]",TRUE,B
,,,,,,,Stud Mount ,"SIGN TYPE: 1"" FLAT CUT ACRYLIC LETTERS
FACE: ACRYLIC
LETTERS THICKNESS: 1""
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
ILLUMINATION : N/A
MOUNTING: STUD MOUNT 
RACEWAY/BACKER: N/A
COLOR SPECS:
  • FACE COLOR: [ASK REP]
FINISH: SATIN
APPLICATION: [APPLICATION]",TRUE,B
,,,Flat Cut Aluminum Letters,,,"1/8""",Flush Mount (VHB),"SIGN TYPE: 1/8"" FLAT CUT ALUMINUM LETTERS
FACE: ALUMINUM/SS FACE
LETTERS THICKNESS: 1/8""
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
ILLUMINATION : N/A
MOUNTING: FLUSH MOUNT (WITH VHB)
RACEWAY/BACKER: N/A
COLOR SPECS:
  • FACE COLOR: [ASK REP]
FINISH: SATIN
APPLICATION: [APPLICATION]",TRUE,B
,,,,,,,Flush Mount (Screws),"SIGN TYPE: 1/8"" FLAT CUT ALUMINUM LETTERS
FACE: ALUMINUM/SS FACE
LETTERS THICKNESS: 1/8""
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
ILLUMINATION : N/A
MOUNTING: FLUSH MOUNT (WITH SCREWS)
RACEWAY/BACKER: N/A
COLOR SPECS:
  • FACE COLOR: [ASK REP]
FINISH: SATIN
APPLICATION: [APPLICATION]",TRUE,B
,,,,,,,Stud Mount ,"SIGN TYPE: 1/8"" FLAT CUT ALUMINUM LETTERS
FACE: ALUMINUM/SS FACE
LETTERS THICKNESS: 1/8""
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
ILLUMINATION : N/A
MOUNTING: STUD MOUNT 
RACEWAY/BACKER: N/A
COLOR SPECS:
  • FACE COLOR: [ASK REP]
FINISH: SATIN
APPLICATION: [APPLICATION]",TRUE,B
,,,,,,"1/4""",Flush Mount (VHB),"SIGN TYPE: 1/4"" FLAT CUT ALUMINUM LETTERS
FACE: ALUMINUM/SS FACE
LETTERS THICKNESS: 1/4""
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
ILLUMINATION : N/A
MOUNTING: FLUSH MOUNT (WITH VHB)
RACEWAY/BACKER: N/A
COLOR SPECS:
  • FACE COLOR: [ASK REP]
FINISH: SATIN
APPLICATION: [APPLICATION]",TRUE,B
,,,,,,,Flush Mount (Screws),"SIGN TYPE: 1/4"" FLAT CUT ALUMINUM LETTERS
FACE: ALUMINUM/SS FACE
LETTERS THICKNESS: 1/4""
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
ILLUMINATION : N/A
MOUNTING: FLUSH MOUNT (WITH SCREWS)
RACEWAY/BACKER: N/A
COLOR SPECS:
  • FACE COLOR: [ASK REP]
FINISH: SATIN
APPLICATION: [APPLICATION]",TRUE,B
,,,,,,,Stud Mount ,"SIGN TYPE: 1/4"" FLAT CUT ALUMINUM LETTERS
FACE: ALUMINUM/SS FACE
LETTERS THICKNESS: 1/4""
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
ILLUMINATION : N/A
MOUNTING: STUD MOUNT 
RACEWAY/BACKER: N/A
COLOR SPECS:
  • FACE COLOR: [ASK REP]
FINISH: SATIN
APPLICATION: [APPLICATION]",TRUE,B
,,,,,,"3/8""",Flush Mount (VHB),"SIGN TYPE: 3/8"" FLAT CUT ALUMINUM LETTERS
FACE: ALUMINUM/SS FACE
LETTERS THICKNESS: 3/8""
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
ILLUMINATION : N/A
MOUNTING: FLUSH MOUNT (WITH VHB)
RACEWAY/BACKER: N/A
COLOR SPECS:
  • FACE COLOR: [ASK REP]
FINISH: SATIN
APPLICATION: [APPLICATION]",TRUE,B
,,,,,,,Flush Mount (Screws),"SIGN TYPE: 3/8"" FLAT CUT ALUMINUM LETTERS
FACE: ALUMINUM/SS FACE
LETTERS THICKNESS: 3/8""
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
ILLUMINATION : N/A
MOUNTING: FLUSH MOUNT (WITH SCREWS)
RACEWAY/BACKER: N/A
COLOR SPECS:
  • FACE COLOR: [ASK REP]
FINISH: SATIN
APPLICATION: [APPLICATION]",TRUE,B
,,,,,,,Stud Mount ,"SIGN TYPE: 3/8"" FLAT CUT ALUMINUM LETTERS
FACE: ALUMINUM/SS FACE
LETTERS THICKNESS: 3/8""
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
ILLUMINATION : N/A
MOUNTING: STUD MOUNT 
RACEWAY/BACKER: N/A
COLOR SPECS:
  • FACE COLOR: [ASK REP]
FINISH: SATIN
APPLICATION: [APPLICATION]",TRUE,B
,,,,,,"1/2""",Flush Mount (VHB),"SIGN TYPE: 1/2"" FLAT CUT ALUMINUM LETTERS
FACE: ALUMINUM/SS FACE
LETTERS THICKNESS: 1/2""
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
ILLUMINATION : N/A
MOUNTING: FLUSH MOUNT (WITH VHB)
RACEWAY/BACKER: N/A
COLOR SPECS:
  • FACE COLOR: [ASK REP]
FINISH: SATIN
APPLICATION: [APPLICATION]",TRUE,B
,,,,,,,Flush Mount (Screws),"SIGN TYPE: 1/2"" FLAT CUT ALUMINUM LETTERS
FACE: ALUMINUM/SS FACE
LETTERS THICKNESS: 1/2""
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
ILLUMINATION : N/A
MOUNTING: FLUSH MOUNT (WITH SCREWS)
RACEWAY/BACKER: N/A
COLOR SPECS:
  • FACE COLOR: [ASK REP]
FINISH: SATIN
APPLICATION: [APPLICATION]",TRUE,B
,,,,,,,Stud Mount ,"SIGN TYPE: 1/2"" FLAT CUT ALUMINUM LETTERS
FACE: ALUMINUM/SS FACE
LETTERS THICKNESS: 1/2""
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
ILLUMINATION : N/A
MOUNTING: STUD MOUNT 
RACEWAY/BACKER: N/A
COLOR SPECS:
  • FACE COLOR: [ASK REP]
FINISH: SATIN
APPLICATION: [APPLICATION]",TRUE,B
,4,ILLUMINATED CABINETS,Single Sided Face Lit Cabinet ,,A,N/A,N/A,"SIGN TYPE: SINGLE SIDED FACE LIT CABINET
FACE: ACRYLIC FACE WITH VINYL APPLICATION
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
RETURNS: [DEPTH]""
TRIM CAP: STANDARD/METALLIC TRIM CAP
ILLUMINATED : 6500K LED MODULES (3 YEAR WARRANTY)
MOUNTING: FLUSH MOUNT
COLOR SPECS:
  • FACE COLOR: [ASK REP]
  • RETURN & TRIM COLOR: [ASK REP]
FINISH: SATIN
APPLICATION: EXTERIOR

* POWER SUPPLY TO BE INSIDE OF CABINET WITH ON/OFF SWITCH INSTALLED",TRUE,A
,,,Single Sided Face & Halo Lit Cabinet,,,,,"SIGN TYPE: SINGLE SIDED FACE & HALO LIT CABINET
FACE: ACRYLIC FACE WITH VINYL APPLICATION
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
RETURNS: [DEPTH]""
BACK: FROSTED ACRYLIC
TRIM CAP: STANDARD/METALLIC TRIM CAP
ILLUMINATED : 6500K LED MODULES (3 YEAR WARRANTY)
MOUNTING: FLUSH MOUNT
COLOR SPECS:
  • FACE COLOR: [ASK REP]
  • RETURN & TRIM COLOR: [ASK REP]
FINISH: SATIN
APPLICATION: EXTERIOR

* POWER SUPPLY TO BE INSIDE OF CABINET WITH ON/OFF SWITCH INSTALLED",TRUE,A
,,,Double Sided Illuminated Cabinet,,,,,"SIGN TYPE: DOUBLE SIDED ILLUMINATED CABINET
FACES: ACRYLIC FACE WITH VINYL APPLICATION
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
RETURNS: [DEPTH]”
TRIM CAP: STANDARD/METALLIC TRIM CAP
ILLUMINATED : 6500K LED MODULES (3 YEAR WARRANTY)
COLOR SPECS:
  • FACE COLOR: [ASK REP]
  • RETURN & TRIM COLOR: [ASK REP]
FINISH: SATIN
APPLICATION: [APPLICATION]

* POWER SUPPLY TO BE INSIDE OF CABINET WITH ON/OFF SWITCH INSTALLED",TRUE,A
,,,Single Sided Push Thru Cabinet,,,,,"SIGN TYPE: SINGLE SIDED FACE LIT PUSH THRU CABINET
FACE: ROUTED ALUMINUM FACE WITH PUSH THRU ACRYLIC LETTERS
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
RETURNS: [DEPTH]”
ILLUMINATED : 6500K LED MODULES (3 YEAR WARRANTY)
MOUNTING: FLUSH MOUNT
RACEWAY/BACKER: N/A
COLOR SPECS:
  • FACE & RETURNS COLOR: [ASK REP]
FINISH: SATIN
APPLICATION: [APPLICATION]

* POWER SUPPLY TO BE INSIDE OF CABINET WITH ON/OFF SWITCH INSTALLED",TRUE,A
,,,Single Sided Face & Halo lit Push Thru Cabinet,,,,,"SIGN TYPE: SINGLE SIDED FACE AND HALO LIT PUSH THRU CABINET
FACE: ROUTED ALUMINUM FACE WITH PUSH THRU ACRYLIC LETTERS
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
RETURNS: [DEPTH]”
BACK: FROSTED ACRYLIC
ILLUMINATED : 6500K LED MODULES (3 YEAR WARRANTY)
MOUNTING: FLUSH MOUNT
RACEWAY/BACKER: N/A
COLOR SPECS:
  • FACE & RETURNS COLOR: [ASK REP]
FINISH: SATIN
APPLICATION: [APPLICATION]

* POWER SUPPLY TO BE INSIDE OF CABINET WITH ON/OFF SWITCH INSTALLED",TRUE,A
,,,Double Sided Push Thru Cabinet,,,,,"SIGN TYPE: DOUBLE SIDED FACE LIT PUSH THRU CABINET
FACES: ROUTED ALUMINUM FACE WITH PUSH THRU ACRYLIC LETTERS
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
RETURNS: [DEPTH]”
ILLUMINATED : 6500K LED MODULES (3 YEAR WARRANTY)
RACEWAY/BACKER: N/A
COLOR SPECS:
  • FACE & RETURNS COLOR: [ASK REP]
FINISH: SATIN
APPLICATION: [APPLICATION]

* POWER SUPPLY TO BE INSIDE OF CABINET WITH ON/OFF SWITCH INSTALLED",TRUE,A
,,,Single Sided Routed & Backed up Acrylic Cabinet,,,,,"SIGN TYPE: SINGLE SIDED ROUTED & BACKED UP ACRYLIC CABINET
FACE: ROUTED ALUMINUM FACE WITH BACKED UP ACRYLIC LETTERS
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
RETURNS: [DEPTH]”
ILLUMINATED : 6500K LED MODULES (3 YEAR WARRANTY)
MOUNTING: FLUSH MOUNT
RACEWAY/BACKER: N/A
COLOR SPECS:
  • FACE & RETURNS COLOR: [ASK REP]
FINISH: SATIN
APPLICATION: [APPLICATION]

* POWER SUPPLY TO BE INSIDE OF CABINET WITH ON/OFF SWITCH INSTALLED",TRUE,A
,,,Double Sided Routed & Backed up Acrylic Cabinet,,,,,"SIGN TYPE: DOUBLE SIDED ROUTED AND BACKED UP ACRYLIC CABINET
FACES: ROUTED ALUMINUM FACE WITH ROUTED AND BACKED UP ACRYLIC LETTERS
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
RETURNS: [DEPTH]”
ILLUMINATED : 6500K LED MODULES (3 YEAR WARRANTY)
RACEWAY/BACKER: N/A
COLOR SPECS:
  • FACE & RETURNS COLOR: [ASK REP]
FINISH: SATIN
APPLICATION: [APPLICATION]

* POWER SUPPLY TO BE INSIDE OF CABINET WITH ON/OFF SWITCH INSTALLED",TRUE,A
,5,NON ILLUMINATED CABINETS,Single Sided Non Illuminated Cabinet ,,A,N/A,N/A,"SIGN TYPE: SINGLE SIDED NON-ILLUMINATED CABINET
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
FACES: ALUMINUM/SS
RETURNS: [DEPTH]""
ILLUMINATED : N/A
MOUNTING: FLUSH MOUNT
COLOR SPECS:
  • FACE & RETURNS COLOR: [ASK REP]
FINISH: SATIN
APPLICATION: [APPLICATION]",TRUE,B
,,,Double Sided Non Illuminated Cabinet,,,,,"SIGN TYPE: DOUBLE SIDED NON-ILLUMINATED CABINET
FACES: ALUMINUM/SS
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]"" 
RETURNS: [DEPTH]""
ILLUMINATED : N/A
COLOR SPECS:
  • FACE & RETURNS COLOR: [ASK REP]
FINISH: SATIN
APPLICATION: [APPLICATION]",TRUE,B
